id_airport1,id_airport2,distancia_relativa
100,111,0.0071
100,112,0.0083
100,118,0.0186
100,137,0.0175
101,112,0.0489
101,118,0.0722
101,129,0.0120
102,107,0.0087
102,118,0.0236
102,120,0.0073
103,115,0.0038
104,144,0.0206
105,123,0.0248
106,118,0.0434
106,120,0.0243
106,140,0.0150
107,118,0.0149
108,116,0.0062
109,112,0.0629
109,118,0.0862
109,119,0.0095
109,131,0.0560
111,112,0.0112
111,118,0.0123
112,118,0.0233
112,119,0.0544
112,123,0.0228
112,125,0.0609
112,126,0.0159
112,131,0.0108
112,136,0.0503
112,137,0.0151
112,144,0.1464
114,118,0.0065
118,119,0.0775
118,120,0.0194
118,125,0.0839
118,126,0.0085
118,127,0.0212
118,128,0.0296
118,129,0.0704
118,130,0.0142
118,131,0.0313
118,133,0.0412
118,134,0.0768
118,136,0.0728
118,137,0.0168
118,139,0.0344
118,140,0.0464
118,143,0.0762
118,144,0.1231
119,131,0.0470
120,130,0.0073
121,142,0.0629
123,131,0.0302
124,138,0.0076
125,131,0.0532
126,137,0.0089
127,137,0.0092
128,133,0.0116
128,142,0.1129
133,140,0.0062
133,144,0.0821
134,136,0.0046
135,139,0.0050
137,139,0.0191
142,144,0.0194
